uniprot_id1,jaspar_mat_id,mat_name,Gene_Symbols
P11746,MA0331,MCM1,NA
P11831,MA0083,SRF,SRF
P11938,MA0359,RAP1,NA
P12383,MA0352,PDR1,NA
P12959,MA1417,O2,NA
P13002,MA1457,grh,grh
P13056,MA1535,NR2C1,NR2C1
P13349,MA1641,MYF5,MYF5
P13378,MA0910,HOXD8,HOXD8
P13393,MA0386,SPT15,NA
P13434,MA0314,HAP3,NA
P13528,MA0926,unc-86,NA
P13574,MA0393,STE12,NA
P13631,MA1553,RARG,RARG
P13902,MA0322,INO4,NA
P14003,MA0449,h,h
P14164,MA0265,ABF1,NA
P14232,MA0129,TGA1A,NA
P14316,MA0051,IRF2,IRF2
P14651,MA0903,HOXB3,HOXB3
P14652,MA1957,HOXB2::ELK1,HOXB2
P14652,MA0902,HOXB2,HOXB2
P14734,MA0446,fkh,fkh
P14859,MA1962,POU2F1::SOX2,POU2F1
P14859,MA0785,POU2F1,POU2F1
P14921,MA0098,ETS1,ETS1
P15036,MA1484,ETS2,ETS2
P15172,MA0499,MYOD1,MYOD1
P15173,MA0500,MYOG,MYOG
P15314,MA0050,Irf1,NA
P15315,MA0287,CUP2,NA
P15330,MA0023,dl,dl
P15330,MA0023,dl,dl
P15330,MA0022,dl,dl
P15330,MA0022,dl,dl
P15336,MA1632,ATF2,ATF2
P15407,MA0477,FOSL1,FOSL1
P15407,MA0477,FOSL1,FOSL1
P15407,MA0477,FOSL1,FOSL1
P15407,MA0477,FOSL1,FOSL1
P15407,MA1142,FOSL1::JUND,FOSL1
P15407,MA1142,FOSL1::JUND,FOSL1
P15407,MA1142,FOSL1::JUND,FOSL1
P15407,MA1142,FOSL1::JUND,FOSL1
P15407,MA1143,FOSL1::JUND,FOSL1
P15407,MA1143,FOSL1::JUND,FOSL1
P15407,MA1143,FOSL1::JUND,FOSL1
P15407,MA1143,FOSL1::JUND,FOSL1
P15407,MA1137,FOSL1::JUNB,FOSL1
P15407,MA1137,FOSL1::JUNB,FOSL1
P15407,MA1137,FOSL1::JUNB,FOSL1
P15407,MA1137,FOSL1::JUNB,FOSL1
P15408,MA1144,FOSL2::JUND,FOSL2
P15408,MA1144,FOSL2::JUND,FOSL2
P15408,MA1144,FOSL2::JUND,FOSL2
P15408,MA1144,FOSL2::JUND,FOSL2
P15408,MA1144,FOSL2::JUND,FOSL2
P15408,MA1138,FOSL2::JUNB,FOSL2
P15408,MA1138,FOSL2::JUNB,FOSL2
P15408,MA1138,FOSL2::JUNB,FOSL2
P15408,MA1138,FOSL2::JUNB,FOSL2
P15408,MA1138,FOSL2::JUNB,FOSL2
P15408,MA1145,FOSL2::JUND,FOSL2
P15408,MA1145,FOSL2::JUND,FOSL2
P15408,MA1145,FOSL2::JUND,FOSL2
P15408,MA1145,FOSL2::JUND,FOSL2
P15408,MA1145,FOSL2::JUND,FOSL2
P15408,MA1139,FOSL2::JUNB,FOSL2
P15408,MA1139,FOSL2::JUNB,FOSL2
P15408,MA1139,FOSL2::JUNB,FOSL2
P15408,MA1139,FOSL2::JUNB,FOSL2
P15408,MA1139,FOSL2::JUNB,FOSL2
P15408,MA0478,FOSL2,FOSL2
P15408,MA0478,FOSL2,FOSL2
P15408,MA0478,FOSL2,FOSL2
P15408,MA0478,FOSL2,FOSL2
P15408,MA0478,FOSL2,FOSL2
P15806,MA0092,Hand1::Tcf3,Tcf3
P15863,MA0779,PAX1,PAX1
P15884,MA0830,TCF4,TCF4
P15923,MA0091,TAL1::TCF3,TCF3
P15923,MA0091,TAL1::TCF3,TCF3
P15923,MA0522,TCF3,TCF3
P15923,MA0522,TCF3,TCF3
P15976,MA0035,GATA1,GATA1
P15976,MA0035,GATA1,GATA1
P15976,MA0140,GATA1::TAL1,GATA1
P15976,MA0140,GATA1::TAL1,GATA1
P16220,MA0018,CREB1,CREB1
P16241,MA0254,vvl,vvl
P17012,MA0146,Zfx,Zfx
P17019,MA1730,ZNF708,ZNF708
P17020,MA1654,ZNF16,ZNF16
P17028,MA1124,ZNF24,ZNF24
P17029,MA1585,ZKSCAN1,ZKSCAN1
P17098,MA1718,ZNF8,ZNF8
P17106,MA0281,CBF1,NA
P17275,MA1140,JUNB,JUNB
P17275,MA1140,JUNB,JUNB
P17275,MA1140,JUNB,JUNB
P17275,MA1140,JUNB,JUNB
P17275,MA0490,JUNB,JUNB
P17275,MA0490,JUNB,JUNB
P17275,MA0490,JUNB,JUNB
P17275,MA0490,JUNB,JUNB
P17275,MA1135,FOSB::JUNB,JUNB
P17275,MA1135,FOSB::JUNB,JUNB
P17275,MA1135,FOSB::JUNB,JUNB
P17275,MA1135,FOSB::JUNB,JUNB
P17275,MA1136,FOSB::JUNB,JUNB
P17275,MA1136,FOSB::JUNB,JUNB
P17275,MA1136,FOSB::JUNB,JUNB
P17275,MA1136,FOSB::JUNB,JUNB
P17433,MA0080,Spi1,NA
P17481,MA1502,HOXB8,HOXB8
P17482,MA1503,HOXB9,HOXB9
P17483,MA1499,HOXB4,HOXB4
P17509,MA1500,HOXB6,HOXB6
P17535,MA0492,JUND,JUND
P17535,MA0492,JUND,JUND
P17535,MA0491,JUND,JUND
P17535,MA0491,JUND,JUND
P17544,MA0834,ATF7,ATF7
P17676,MA0466,CEBPB,NA
P17789,MA0460,ttk,NA
P17839,MA0005,AG,NA
P17861,MA0844,XBP1,XBP1
P18102,MA0459,tll,tll
P18146,MA0162,EGR1,EGR1
